;Origine;Type Conteneur;SH Déclaré;Devise;Fret Unitaire min;Fret Unitaire moyen;Fret Unitaire max;N° Déclaration inf;N° Déclaration sup
0;Afrique du Sud;20' conteneur citerne;2207109000;EUR;2331;2332;2333;2024CIAB9C2059;2024CIAB9C1180
1;Afrique du Sud;20' conteneur standard;403201000;EUR;4150;4150;4150;2024CIAB1C21715;2024CIAB1C21715
2;Afrique du Sud;20' conteneur standard;403202000;EUR;4150;4150;4150;2024CIAB1C21715;2024CIAB1C21715
3;Afrique du Sud;20' conteneur standard;1005900000;EUR;1760;2045;2160;2024CIAB1C19461;2024CIAB1C28199
4;Afrique du Sud;20' conteneur standard;1005900000;USD;529;993;2300;2024CIAB1C14845;2024CIAB1C31807
5;Afrique du Sud;20' conteneur standard;1103130000;USD;2148;2148;2148;2024CIAB1C2976;2024CIAB1C2976
6;Afrique du Sud;20' conteneur standard;2207109000;EUR;2331;2331;2331;2024CIAB9C2098;2024CIAB9C2098
7;Afrique du Sud;20' conteneur standard;2309901000;EUR;2975;2975;2975;2024CIAB1C36604;2024CIAB1C36604
8;Afrique du Sud;20' conteneur standard;2309909000;EUR;2975;4004;5034;2024CIAB1C36604;2024CIAB9C2058
9;Afrique du Sud;20' conteneur standard;2504100000;USD;1000;1000;1000;2024CIAB1C18955;2024CIAB1C18955
10;Afrique du Sud;20' conteneur standard;2508100000;USD;3600;3600;3600;2024CIAB5S377;2024CIAB5S377
11;Afrique du Sud;20' conteneur standard;2602000000;XOF;600000;600000;600000;2024CIAB1C4396;2024CIAB1C4396
12;Afrique du Sud;20' conteneur standard;2710193300;USD;3600;3600;3600;2024CIAB5S377;2024CIAB5S377
13;Afrique du Sud;20' conteneur standard;2710193990;USD;7450;7450;7450;2024CIAB1C11376;2024CIAB1C11376
14;Afrique du Sud;20' conteneur standard;2815110000;EUR;4900;4900;4900;2024CIAB1C35279;2024CIAB1C35279
15;Afrique du Sud;20' conteneur standard;2820900000;USD;2575;2575;2575;2024CIAB1C25890;2024CIAB1C25890
16;Afrique du Sud;20' conteneur standard;2827100000;EUR;4900;4900;4900;2024CIAB1C35279;2024CIAB1C35279
17;Afrique du Sud;20' conteneur standard;2904990000;EUR;4900;4900;4900;2024CIAB1C35279;2024CIAB1C35279
18;Afrique du Sud;20' conteneur standard;2905310000;USD;3600;5525;7450;2024CIAB5S377;2024CIAB1C11376
19;Afrique du Sud;20' conteneur standard;2921110000;USD;3499;3499;3499;2024CIAB1C6471;2024CIAB1C6471
20;Afrique du Sud;20' conteneur standard;2930400000;EUR;5034;5034;5034;2024CIAB9C2058;2024CIAB9C2058
21;Afrique du Sud;20' conteneur standard;3204160000;EUR;515;515;515;2024CISMGC994;2024CISMGC994
22;Afrique du Sud;20' conteneur standard;3206499000;EUR;3631;3631;3631;2024CIAB7S274;2024CIAB7S274
23;Afrique du Sud;20' conteneur standard;3304990000;EUR;481;481;481;2024CISMGC2841;2024CISMGC2841
24;Afrique du Sud;20' conteneur standard;3402499000;USD;3600;3600;3600;2024CIAB5S377;2024CIAB5S377
25;Afrique du Sud;20' conteneur standard;3402900000;USD;7450;7450;7450;2024CIAB1C11376;2024CIAB1C11376
26;Afrique du Sud;20' conteneur standard;3403190000;USD;7450;7450;7450;2024CIAB1C11376;2024CIAB1C11376
27;Afrique du Sud;20' conteneur standard;3404200000;USD;3600;5525;7450;2024CIAB5S377;2024CIAB1C11376
28;Afrique du Sud;20' conteneur standard;3811290000;USD;3600;3600;3600;2024CIAB5S377;2024CIAB5S377
29;Afrique du Sud;20' conteneur standard;3811900000;USD;3600;3600;3600;2024CIAB5S377;2024CIAB5S377
30;Afrique du Sud;20' conteneur standard;3822190000;USD;3915;3915;3915;2024CISMGC2139;2024CISMGC2139
31;Afrique du Sud;20' conteneur standard;3824992000;EUR;4900;4900;4900;2024CIAB1C35279;2024CIAB1C35279
32;Afrique du Sud;20' conteneur standard;3824999900;EUR;4900;4900;4900;2024CIAB1C35279;2024CIAB1C35279
33;Afrique du Sud;20' conteneur standard;3906900000;USD;7450;7450;7450;2024CIAB1C11376;2024CIAB1C11376
34;Afrique du Sud;20' conteneur standard;3916100000;EUR;1109;1109;1109;2024CIAB1C16567;2024CIAB1C16567
35;Afrique du Sud;20' conteneur standard;3921901000;EUR;1738;1738;1738;2024CISMGC2750;2024CISMGC2750
36;Afrique du Sud;20' conteneur standard;3921902000;EUR;1109;1109;1109;2024CIAB1C16567;2024CIAB1C16567
37;Afrique du Sud;20' conteneur standard;3926909900;EUR;554;958;1738;2024CIAB1C16497;2024CISMGC2750
38;Afrique du Sud;20' conteneur standard;4011100000;USD;1748;1748;1748;2024CIAB1C32873;2024CIAB1C32873
39;Afrique du Sud;20' conteneur standard;4015190000;EUR;554;693;832;2024CIAB1C16550;2024CIAB1C16513
40;Afrique du Sud;20' conteneur standard;4016990000;EUR;1738;2540;3343;2024CISMGC2750;2024CISMGC439
41;Afrique du Sud;20' conteneur standard;4203290000;EUR;554;693;832;2024CIAB1C16550;2024CIAB1C16513
42;Afrique du Sud;20' conteneur standard;4418110000;ZAR;1;1;1;2024CIAB1C23966;2024CIAB1C23966
43;Afrique du Sud;20' conteneur standard;4802699000;EUR;554;832;1109;2024CIAB1C16550;2024CIAB1C16567
