,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
0,1,101210000,"-- Chevaux vivants, reproducteurs de race pure",5,1,,,,,,,,"0,8","0,2","0,5"
1,2,101290000,"-- Chevaux vivants, autres que reproducteurs de race pure",10,1,,,,,,,,"0,8","0,2","0,5"
2,3,101301000,-- Anes vivants reproducteurs de race pure,5,1,,,,,,,,"0,8","0,2","0,5"
3,4,101309000,"-- Anes vivants, autres que reproducteurs de race pure",10,1,,,,,,,,"0,8","0,2","0,5"
4,5,101900000,- Mulets et bardots vivants,10,1,,,,,,,,"0,8","0,2","0,5"
5,6,102210000,-- Bovins vivants domestiques reproducteurs de race pure,5,1,,,,,,,,"0,8","0,2","0,5"
6,7,102290000,"-- Bovins vivants domestiques, autres que reproducteurs de race pure",10,1,,,,,,,,"0,8","0,2","0,5"
7,8,102310000,-- Buffles vivants reproducteurs de race pure,5,1,,,,,,,,"0,8","0,2","0,5"
8,9,102390000,"-- Buffles vivants, autres que reproducteurs de race pure",10,1,,,,,,,,"0,8","0,2","0,5"
9,10,102900000,"- Autres animaux vivants de l'espèce bovine autres que les bovins
domestiques, les buffles",10,1,,,,,,,,"0,8","0,2","0,5"
10,11,103100000,"- Animaux vivants de l'espèce porcine, reproducteurs de race pure",5,1,,,,,,,,"0,8","0,2","0,5"
11,12,103910000,"-- Animaux vivants de l'espèce porcine, autres que reproducteurs de race
pure, d'un poids inférieur à 50 kg",10,1,,,,,,,,"0,8","0,2","0,5"
12,13,103920000,"-- Animaux vivants de l'espèce porcine, autres que reproducteurs de race
pure, d'un poids égal ou supérieur à 50 kg",10,1,,,,,,,,"0,8","0,2","0,5"
13,14,104101000,"-- Animaux vivants de l'espèce ovine, reproducteurs de race pure",5,1,,,,,,,,"0,8","0,2","0,5"
14,15,104109000,"-- Animaux vivants de l'espèce ovine, autres que reproducteurs de race
pure",10,1,,,,,,,,"0,8","0,2","0,5"
15,16,104201000,"-- Animaux vivants de l'espèce caprine, reproducteurs de race pure",5,1,,,,,,,,"0,8","0,2","0,5"
16,17,104209000,"-- Animaux vivants de l'espèce caprine, autres que reproducteurs de race
pure",10,1,,,,,,,,"0,8","0,2","0,5"
17,18,105111000,"--- Coqs et poules vivants domestiques, reproducteurs de race pure, d'un
poids n'excédant pas 185 g",5,1,,,,,,,,"0,8","0,2","0,5"
18,19,105119000,"--- Coqs et poules vivants domestiques, autres que reproducteurs de race
pure, d'un poids n'excédant pas 185 g",10,1,,,,,,,,"0,8","0,2","0,5"
19,20,105120000,"-- Dindes et dindons vivants domestiques, d'un poids n'excédant pas 185 g",5,1,,,,,,,,"0,8","0,2","0,5"
20,21,105130000,"-- Canards vivants domestiques, d'un poids n'excédant pas 185 g",5,1,,,,,,,,"0,8","0,2","0,5"
21,22,105140000,"-- Oies  domestiques vivantes, d'un poids n'excédant pas 185 g",5,1,,,,,,,,"0,8","0,2","0,5"
22,23,105150000,"-- Pintades  domestiques vivantes, d'un poids n'excédant pas 185 g",5,1,,,,,,,,"0,8","0,2","0,5"
23,24,105940000,"-- Coqs et poules  vivants domestiques, d'un poids excédant 185 g",10,1,,,,,,,,"0,8","0,2","0,5"
