;N°déclaration;Date déclaration;N°manifeste;N°BL;N°Liquidation;Bureau;Type déclaration;Déclarant;Code Opérateur;Nom Opérateur;Code destinataire réel/Exportateur réel;Nom Destinataire réel / Exportarteur réel;Fournisseur;Circuit;Type visite;Produit;Regime Etendu;Code Additionnel;Nature emballage;Incoterm;Provenance;Origine;Destination;Marque1;Marque2;D&T;Val FOB;Val CAF;Pds Brut;Pds Net;Nbr Colis;Sous_Produit;fret;PU;D&T_tx;PU_moy;PU_min;PU_max;PU_med;Ecart
0;2024CIAB3C4540;2024-03-18;-;CIAB3 2023 E 4014 art. 1;2024CIAB3L5855;CIAB3;Ré-importation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";9004996S;"CIE - COMPAGNIE IVOIRIENNE D'ELECTRICITE
01 BP 692";9004996S;"CIE - COMPAGNIE IVOIRIENNE D'ELECTRICITE
01 BP 692";"ERANOVE
78280 GUYANCOURT";VERT;BAE Auto;8483300000;6023;0;"PC - Colis (""parcel"")";CPT;FR;Suisse;CI;-;-;6032452;15929916.0;18572807.0;456;365;1;"Paliers, autres qu'à roulements incorporés; co";2642891.0;43643.60547945205;0.324800230789024;1480666.9285714286;1480666.9285714286;1480666.9285714286;1480666.9285714286;33.926320071529034
1;2024CIAB3C4444;2024-03-15;CIAB3 2024 1573;7151850886;2024CIAB3L5731;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";"VOLKSWAGEN OF SOUTH AFRICA
103 ALGOA ROAD,KARIEGA";VERT;BAE Auto;8708800000;4000;0;"PC - Colis (""parcel"")";CPT;ZA;PLUSIEURS;CI;-;-;49189;130535.0;151435.0;3;3;0;Systèmes de suspension et leurs parties (y comp;20900.0;43511.666666666664;0.324819229372338;54650.48434042148;14903.36;218501.42857142858;23783.939393939392;1.255996116147121
2;2024CIAB3C4448;2024-03-15;CIAB3 2024 1569;7151850293;2024CIAB3L5737;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";"VOLKSWAGEN OF SOUTH AFRICA
103 ALGOA ROAD,KARIEGA";VERT;BAE Auto;8708800000;4000;0;"PC - Colis (""parcel"")";CPT;ZA;PLUSIEURS;CI;-;-;567342;1432610.0;1746734.0;59;53;0;Systèmes de suspension et leurs parties (y comp;314124.0;27030.377358490565;0.32480160115964996;54650.48434042148;14903.36;218501.42857142858;23783.939393939392;2.021817291546435
3;2024CIAB3C4448;2024-03-15;CIAB3 2024 1569;7151850293;2024CIAB3L5737;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";"VOLKSWAGEN OF SOUTH AFRICA
103 ALGOA ROAD,KARIEGA";VERT;BAE Auto;9031800000;4000;0;"PC - Colis (""parcel"")";CPT;ZA;PLUSIEURS;CI;-;-;17374;43949.0;53484.0;2;2;0;Autres instruments, appareils et machines de mes;9535.0;21974.5;0.32484481340213894;129879.92797036309;19777.1;1008862.0;69737.0;5.910483877692921
4;2024CIAB3C4444;2024-03-15;CIAB3 2024 1573;7151850886;2024CIAB3L5731;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";"VOLKSWAGEN OF SOUTH AFRICA
103 ALGOA ROAD,KARIEGA";VERT;BAE Auto;2710193990;4000;0;"PC - Colis (""parcel"")";CPT;ZA;PLUSIEURS;CI;-;-;52995;140375.0;162937.0;3;3;0;Autres huiles lubrifiantes, du n° 2710.19;22562.0;46791.666666666664;0.3252484088942352;125663.62240259741;12463.0;387671.0;61302.181818181816;2.6855983416405502
5;2024CIAB3C5084;2024-03-25;CIAB3 2024 973;7149252162;2024CIAB3L6556;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";7603142C;"TOTALENERGIES MARKETING COTE D'IVOIRE
01 BP 336 AB";7603142C;"TOTALENERGIES MARKETING COTE D'IVOIRE
01 BP 336 AB";"TOTAL ENERGIES OFF GRID SOLAR
24 COURS MICHELET 92";VERT;BAE Auto;9405420000;4000;0;"PC - Colis (""parcel"")";CPT;CN;Chine;CI;-;-;3056648;3415568.0;6902996.0;212;191;1;Autres luminaires et appareils d’éclairage (;3487428.0;17882.55497382199;0.4428001986383883;136097.69696969696;136097.69696969696;136097.69696969696;136097.69696969696;7.610640491189788
6;2024CIAB3C3890;2024-06-03;CIAB3 2024 1364;05708110432/2;2024CIAB3L5001;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1001915M;"TONGONAISE DE MINES
 BP 801 KORHOGO (VILLE) 
MAIRI";0913981R;"STE DES MINES DE TONGON
01 BP 1216 ABIDJAN 01
COCO";"EUROPE FONDATIONS
78065 ST QUENTIN";VERT;BAE Auto;7318240000;4000;0;"PC - Colis (""parcel"")";CIP;FR;PLUSIEURS;CI;-;-;744857;1292986.0;1682144.0;214;193;0;Goupilles et clavettes, en fonte, fer ou acier;389158.0;6699.40932642487;0.4428021620027774;132802.6671781837;11151.0;721388.75;66252.0;19.82304121265772
7;2024CIAB3C3781;2024-05-03;CIAB3 2024 1364;05708110432/1;2024CIAB3L4861;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1001915M;"TONGONAISE DE MINES
 BP 801 KORHOGO (VILLE) 
MAIRI";0913981R;"STE DES MINES DE TONGON
01 BP 1216 ABIDJAN 01
COCO";"EUROPE FONDATIONS
78065 ST QUENTIN";VERT;BAE Auto;9032810000;4000;0;"PC - Colis (""parcel"")";CIP;FR;PLUSIEURS;CI;-;-;162770;387015.0;501129.0;3;2;1;Autres instruments et appareils pour la régula;114114.0;193507.5;0.32480658672717005;85657.36027237406;2539.5;260087.0;34162.857142857145;0.442656539267853
8;2024CIAB3C4920;2024-03-21;CIAB3 2024 1606;92303973852;2024CIAB3L6337;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1001915M;"TONGONAISE DE MINES
 BP 801 KORHOGO (VILLE) 
MAIRI";0913981R;"STE DES MINES DE TONGON
01 BP 1216 ABIDJAN 01
COCO";"EUROPE FONDATIONS
78065 ST QUENTIN";VERT;BAE Auto;9032810000;4000;0;"PC - Colis (""parcel"")";CIP;FR;PLUSIEURS;CI;-;-;428405;1161044.0;1318978.0;11;9;0;Autres instruments et appareils pour la régula;157934.0;129004.88888888889;0.3248007169187052;85657.36027237406;2539.5;260087.0;34162.857142857145;0.6639853807877794
9;2024CIAB3C4705;2024-03-19;CIAB3 2024 1571;7151847876;2024CIAB3L6057;CIAB3;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";0421179F;"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO";"VOLKSWAGEN OF SOUTH AFRICA
103 ALGOA ROAD,KARIEGA";VERT;BAE Auto;6303120000;4000;0;"PC - Colis (""parcel"")";CPT;ZA;PLUSIEURS;CI;-;-;128232;184324.0;289588.0;3;3;0;Vitrages, rideaux et stores d'intérieur, canto;105264.0;61441.333333333336;0.44280840366313523;1428.5714285714287;1428.5714285714287;1428.5714285714287;1428.5714285714287;0.023250983516602753
