;N°déclaration;Date déclaration;N°manifeste;N°BL;N°Liquidation;Bureau;Type déclaration;Déclarant;Code Opérateur;Nom Opérateur;Code destinataire réel/Exportateur réel;Nom Destinataire réel / Exportarteur réel;Fournisseur;Circuit;Type visite;Produit;Regime Etendu;Code Additionnel;Nature emballage;Incoterm;Provenance;Origine;Destination;Marque1;Marque2;D&T;Val FOB;Val CAF;Pds Brut;Pds Net;Nbr Colis;Sous_Produit;fret;PU;D&T_tx;PU_moy;PU_min;PU_max;PU_med;Ecart
0;2024CIAB1C6639;01/02/2024;CIAB1 2024 534;LHV3340833;2024CIAB1L6640;CIAB1;Mise à la consommation;"00109N -GENERAL TRANSIT COTE D IVOIRE(GTCI)
18 BP 130 ABID";9705030K;"MIB-MANIFACTURE IVOIRIEN
01 BP 1990 ABIDJAN 01
CON";-;-;"IDEAROM DR24-0234 3 RUE
DU PETIT SAINT JEAN 72390
";VERT;BAE Auto;3302100000;4000;0;PX - Palettes;EXW;FR;France;CI;-;-;15,129,647;44,584,085;46,581,414;7,805;7200;11;Mélanges de substances odoriférantes ou à bas;1,997,329;6192.23;0.32;1808.94;1808.9383259911895;1808.9383259911895;1808.9383259911895;0.29
1;2024CIAB1C6673;01/02/2024;CIAB1 2024 590;234278926;2024CIAB1L6674;CIAB1;Mise à la consommation;"00342P -WORLD TRANSIT
21 BP 2893 ABIDJAN 21
RCI";0194196N;"CI INTERNATIONALE DE COMMERCE
04 BP 1083 ABIDJAN (";-;-;"RAK PORCELAIN LLC
P.O. 30113 RAS AL KHAIMAH, UNITE";VERT;BAE Auto;6911100000;4000;0;"BX - Boite (""box"")";CFR;AE;PLUSIEURS;CI;-;-;15,729,909;34,151,060;35,523,726;14,937;12420;4190;Articles pour le service de la table ou de la cu;1,372,666;2749.68;0.44;3363.20;3360.517948717949;3365.88125;3363.1995993589744;1.22
2;2024CIAB1C6723;01/02/2024;CIAB1 2024 459;234498607;2024CIAB1L6724;CIAB1;Mise à la consommation;"00362N -COMPAGNIE 2EL3A TRANSIT(C.2EL.3A.T)
TREICH-VGE-IM.";1649103M;"MADALY SANTE
01 BP 6989 ABIDJAN (VILLE) 01
 2 PLAT";-;-;"NORTHERN MEDITEC LIMITED 
40TH FLOOR, BUILDING C,";VERT;BAE Auto;9018900000;4000;0;"PK - Colis (""package"")";EXW;CN;Chine;CI;-;-;2,279,180;29,533,202;30,388,994;1,511;1120;11;Autres instruments et appareils du N° 90.18;855,792;26368.93;0.08;3753.02;3753.0194594594595;3753.0194594594595;3753.0194594594595;0.14
3;2024CISMGC475;01/02/2024;CIAB1 2024 454;1;2024CISMGL475;CISMG;Mise à la consommation;"00114G -TGR
01 BP 8093 ABIDJAN 01
RCI";9716955D;"ACROPOLE
 BP 829 ABIDJAN (VILLE) 
ADJAME ROXY NVEA";-;-;"EXPRESSIONS PARFUMEES SAS
136 CHEMIN DE SAINT MARC";VERT;BAE Auto;3302901000;4000;0;"PK - Colis (""package"")";CFR;SN;France;CI;-;-;5,859,673;17,519,956;18,040,858;404;355;15;Mélanges de substances odoriférantes ou à ba;520,902;49351.99;0.32;283.12;283.11995515695065;283.11995515695065;283.11995515695065;0.01
4;2024CIAB3C1582;01/02/2024;CIAB3 2024 478;5706811571;2024CIAB3L2084;CIAB3;Mise à la consommation;"00182S -T T S (TRANSIT-TRANSPORT-SERVICES)
15 BP 449 ABIDJ";2046150F;"PW MINING INTERNAL LIMITED COTE D'IVOIRE
01 BP 405";2046150F;"PW MINING INTERNAL LIMITED COTE D'IVOIRE
01 BP 405";"HALADJIAN MOBILE EQUIPEMENT SOLUTIONS
1951 AVENUE";VERT;BAE Auto;8483300000;4000;0;"PC - Colis (""parcel"")";CIP;FR;PLUSIEURS;CI;-;-;5,040,150;15,118,497;15,517,673;98;83;0;"Paliers, autres qu'à roulements incorporés; co";399,176;182150.57;0.32;20602.23;20602.230263157893;20602.230263157893;20602.230263157893;0.11
5;2024CIAB3C1574;01/02/2024;CIAB3 2024 661;17694831240;2024CIAB3L2076;CIAB3;Mise à la consommation;"00389S -M.A.M TRANSIT
01 BP 10657 ABIDJAN 01
RCI";2055839X;"CILUXE
01 BP 1134 ABIDJAN (VILLE) 01
TREICHVILLE L";-;-;"PARFUMS CHRISTIAN DIOR ORIENT FZCO
PO BOX 17200 JA";VERT;BAE Auto;3303001000;4000;0;"PK - Colis (""package"")";CPT;AE;PLUSIEURS;CI;-;-;9,158,494;12,389,716;14,741,443;724;569;0;Parfums liquides contenant de l'alcool;2,351,727;21774.54;0.62;8870.83;8870.825503355705;8870.825503355705;8870.825503355705;0.41
6;2024CIAB3C1561;01/02/2024;CIAB3 2024 614;5749801651;2024CIAB3L2062;CIAB3;Mise à la consommation;"00182S -T T S (TRANSIT-TRANSPORT-SERVICES)
15 BP 449 ABIDJ";0731479J;"STE INTELEC PROTECTION
01 BP 1651 ABIDJAN 01
RCI";0731479J;"STE INTELEC PROTECTION
01 BP 1651 ABIDJAN 01
RCI";"R.PONS
9 RUE DES MOULINS-10200 FONTAINE FRANCE
DR";VERT;BAE Auto;8481800000;4000;0;"PC - Colis (""parcel"")";FCA;FR;France;CI;-;-;3,209,922;9,390,025;9,882,747;84;76;1;Autres articles de robinetterie et organes simil;492,722;123552.96;0.32;9235.88;9235.88;9235.88;9235.88;0.07
7;2024CIAB3C1539;01/02/2024;CIAB3 2024 464;5749401435;2024CIAB3L2034;CIAB3;Mise à la consommation;"00306K -SDMA
01 BP 6786 ABIDJAN 01
ZONE II-RUE DES SELLIER";0100925E;"NEEMBA COTE D'IVOIRE
01 BP 1299 ABIDJAN 01
AGENT D";0100925E;"NEEMBA COTE D'IVOIRE
01 BP 1299 ABIDJAN 01
AGENT D";"NEEMBA INTERNATIONAL LTD
6TH FLOOR, TOWER A,1, Cyb";VERT;BAE Auto;4016930000;4000;0;CT - Carton;FCA;BE;PLUSIEURS;CI;-;-;2,592,861;7,261,445;7,982,864;219;219;0;Joints, en caoutchouc vulcanisé non durci, aut;721,419;33157.28;0.32;20614.79;20614.79359430605;20614.79359430605;20614.79359430605;0.62
8;2024CIAB1C6609;01/02/2024;CIAB1 2024 428;MEDUJ8551650;2024CIAB1L6610;CIAB1;Mise à la consommation;"00296P -STRACOTRANS
01 BP 7084 ABIDJAN 01
MARCORY-IMMEUBLE";0208793S;"ORCA DECORATION
11 BP 2498 ABIDJAN (VILLE) 11
MARC";-;-;"PENTA ASIA LIMITED
SUITE C,11/F,QUEEN CENTER 58-64";VERT;BAE Auto;8509400000;4000;0;"PK - Colis (""package"")";FOB;FR;PLUSIEURS;CI;-;-;3,444,082;7,144,028;7,777,959;3,153;2510;0;fr;633,931;2846.23;0.44;31303.72;31303.722222222223;31303.722222222223;31303.722222222223;11.00
9;2024CIAB3C1591;01/02/2024;CIAB3 2024 466;2053917743;2024CIAB3L2095;CIAB3;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";8605585C;"SITAB INDUSTRIES
 BP 607 BOUAKE 
BOUAKE,ZONE INDUS";-;-;"GDSPA. SOCIIETA A SOCIO UNICO
VIA BATTINDARMO 91";VERT;BAE Auto;8422900000;4000;0;"PC - Colis (""parcel"")";CPT;IT;PLUSIEURS;CI;-;-;1,770,147;6,539,891;6,659,681;11;7;0;Parties des macchines et appareils  du n° 84.22;119,79;934270.14;0.27;20633.05;20633.047688921495;20633.047688921495;20633.047688921495;0.02
