,N°déclaration,Date déclaration,N°manifeste,N°BL,N°Liquidation,Bureau,Type déclaration,Déclarant,Code Opérateur,Nom Opérateur,Code destinataire réel/Exportateur réel,Nom Destinataire réel / Exportarteur réel,Fournisseur,Circuit,Type visite,Produit,Regime Etendu,Code Additionnel,Nature emballage,Incoterm,Provenance,Origine,Destination,Marque1,Marque2,D&T,Val FOB,Val CAF,Pds Brut,Pds Net,Nbr Colis,Sous_Produit,fret,PU,D&T_tx,PU_moy,PU_min,PU_max,PU_med,Ecart
0,2023CIAB6C5182,2023-04-12,-,CIAB6 2023 S 97 art. 1,2023CIAB6L5948,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8704211990,4070.0,0,FR - Chassis,FCA,ZA,Afrique du Sud,CI,-,-,"6,232,060","19,055,397","19,796,878","2,014",2014,1,Véhicules auto. pr transport de marchandise,"741,481",9461.47,0.31,6111.83,2767.897448979592,9461.4682224429,6164.018090452261,0.65
1,2023CIAB6C4831,2023-04-04,CIAB1 2023 1566,S323703945,2023CIAB6L5558,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4000.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,323,318","13,672,112","14,280,298","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","608,186",9084.46,0.44,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
2,2023CIAB6C5509,2023-04-19,-,CIAB6 2023 S 698 art. 3,2023CIAB6L6319,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
3,2023CIAB6C5509,2023-04-19,-,CIAB6 2023 S 698 art. 4,2023CIAB6L6319,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
4,2023CIAB6C5509,2023-04-19,-,CIAB6 2023 S 698 art. 12,2023CIAB6L6319,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
5,2023CIAB6C5350,2023-04-14,-,CIAB6 2023 S 698 art. 2,2023CIAB6L6146,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
6,2023CIAB6C5350,2023-04-14,-,CIAB6 2023 S 698 art. 16,2023CIAB6L6146,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
7,2023CIAB6C5650,2023-04-20,-,CIAB6 2023 S 698 art. 5,2023CIAB6L6473,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
8,2023CIAB6C5650,2023-04-20,-,CIAB6 2023 S 698 art. 6,2023CIAB6L6473,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","NISSAN SOUTH AFRICA (PTY) LTD
ROSSLYN PO BOX 91101",ROUGE,Visite a Domicile,8703221900,4070.0,0,FR - Chassis,CFR,GB,Royaume-Uni,CI,-,-,"6,179,477","13,672,112","14,277,898","1,505",1505,1,"Véhicules pr transport de moins de 10pers.,n","605,786",9084.46,0.43,9022.73,2366.2584444444446,18431.844,9084.459800664452,0.99
9,2023CIAB6C6069,2023-04-27,-,CIAB6 2022 S 2675 art. 12,2023CIAB6L6970,CIAB6,Mise à la consommation,"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO",0421179F,"ATC COMAFRIQUE
01 BP 3727 ABIDJAN (VILLE) 01
MARCO","CHINA DONG FENG MOTOR INDUSTRIY IMP & exp CO LTD
N",ROUGE,Visite a Domicile,8704221990,4070.0,0,FR - Chassis,FOB,CN,Chine,CI,-,-,"2,684,641","6,283,996","8,528,075","2,280",2280,1,"Véhicules auto. pour marchandises,neufs, al","2,244,079",2756.14,0.31,2295.13,1166.5528177604294,3196.787033398821,2273.794202898551,0.83
