;N°déclaration;Date déclaration;N°manifeste;N°BL;N°Liquidation;Bureau;Type déclaration;Déclarant;Code Opérateur;Nom Opérateur;Code destinataire réel/Exportateur réel;Nom Destinataire réel / Exportarteur réel;Fournisseur;Circuit;Type visite;Produit;Regime Etendu;Code Additionnel;Nature emballage;Incoterm;Provenance;Origine;Destination;Marque1;Marque2;D&T;Val FOB;Val CAF;Pds Brut;Pds Net;Nbr Colis;Sous_Produit;fret;PU;D&T_tx;PU_moy;PU_min;PU_max;PU_med;Ecart
0;2024CIAB7C978;2024-05-24;-;CIAB7 2021 S 4297 art.1;2024CIAB7L2846;CIAB7;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1732163T;"FERPINTA COTE D IVOIRE SA
06 BP 2569 ABIDJAN (VILL";-;-;"FERPINTA WEST AFRICA,S.A
ZONA INDUSTRIAL NORTE
POR";ROUGE;Visite a Quai;8461500000;4050;316;"PK - Colis (""package"")";CFR;MA;Espagne;CI;-;-;1,493,503;179,137,921;187,862,019;17,836;17836;10;Machines à scier ou à tronçonner;8,724,098;10043.62;0.01;10043.62;10043.615216416238;10043.615216416238;10043.615216416238;1.00
1;2024CIAB7C979;2024-05-24;-;CIAB7 2021 S 4173 art.2;2024CIAB7L2847;CIAB7;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1732163T;"FERPINTA COTE D IVOIRE SA
06 BP 2569 ABIDJAN (VILL";-;-;"FERPINTA WEST AFRICA. S A
ZONA INDUSTRIAL NORTE Po";ROUGE;Visite a Quai;8461500000;4050;316;"PK - Colis (""package"")";CFR;MA;Turquie;CI;-;-;4,303,667;204,461,797;215,565,270;77,040;77040;0;Machines à scier ou à tronçonner;11,103,473;2653.97;0.02;2653.97;2653.9693276220146;2653.9693276220146;2653.9693276220146;1.00
2;2024CIAB7C980;2024-05-24;-;CIAB7 2021 S 4192  art.1;2024CIAB7L2849;CIAB7;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1732163T;"FERPINTA COTE D IVOIRE SA
06 BP 2569 ABIDJAN (VILL";-;-;"FERPINTA WEST AFRICA. S A
ZONA INDUSTRIAL NORTE Po";ROUGE;Visite a Quai;8455100000;4050;316;"BX - Boite (""box"")";CFR;ES;Turquie;CI;-;-;1,621,087;176,752,861;203,910,247;59,195;59195;68;Laminoirs à tubes;27,157,386;2985.94;0.01;2763.93;2652.9170273794;2985.9424106765773;2652.9170273794;0.93
3;2024CIAB7C979;2024-05-24;-;CIAB7 2021 S 4173 art.1;2024CIAB7L2847;CIAB7;Mise à la consommation;"00045G -MOVIS C.I.
01 BP 1569 ABIDJAN 01
RCI";1732163T;"FERPINTA COTE D IVOIRE SA
06 BP 2569 ABIDJAN (VILL";-;-;"FERPINTA WEST AFRICA. S A
ZONA INDUSTRIAL NORTE Po";ROUGE;Visite a Quai;8455100000;4050;316;"PK - Colis (""package"")";CFR;MA;Turquie;CI;-;-;4,303,667;305,218,104;325,776,506;115,050;115050;73;Laminoirs à tubes;20,558,402;2652.92;0.01;2763.93;2652.9170273794;2985.9424106765773;2652.9170273794;1.04
4;2024CIAB7C1022;2024-05-24;-;Consultez décl. préc.;2024CIAB7L2899;CIAB7;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";0100451K;"EVIOSYS PACKAGING SIEM SA
01 BP 1242 ABIDJAN 01
ZO";-;-;"BAOSTEEL EUROPE GMBH
WILHELM WAGENFIELD STRASSE 26";ROUGE;Visite a Quai;7210500000;4052;0;"PK - Colis (""package"")";CIF;CN;Chine;CI;-;-;668,551;2,519,342;2,519,342;3,669;3669;1;Produits laminés plats, en fer ou aciers non al;0;686.66;0.27;686.66;686.6563096211502;686.6563096211502;686.6563096211502;1.00
5;2024CIAB7C1029;2024-05-24;-;Consultez décl. préc.;2024CIAB7L2910;CIAB7;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";0100451K;"EVIOSYS PACKAGING SIEM SA
01 BP 1242 ABIDJAN 01
ZO";-;-;"POSCO INTERNATIONAL CORPORATION
165 CONVENSIA DAER";ROUGE;Visite a Quai;7210500000;4052;0;"PK - Colis (""package"")";CIF;CN;Coree, Republique de (Coree du Sud);CI;-;-;2,196,575;8,075,961;8,075,961;10,574;10574;1;Produits laminés plats, en fer ou aciers non al;0;763.76;0.27;762.10;760.4347791100024;763.7564781539626;762.0956286319824;1.00
6;2024CIAB7C1012;2024-05-24;-;Consultez décl. préc.;2024CIAB7L2885;CIAB7;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";0100451K;"EVIOSYS PACKAGING SIEM SA
01 BP 1242 ABIDJAN 01
ZO";-;-;"POSCO INTERNATIONAL CORPORATION
165 CONVENSIA DAER";ROUGE;Visite a Quai;7210500000;4052;0;"PK - Colis (""package"")";CIF;CN;Coree, Republique de (Coree du Sud);CI;-;-;2,561,238;9,449,923;9,449,923;12,427;12427;1;Produits laminés plats, en fer ou aciers non al;0;760.43;0.27;762.10;760.4347791100024;763.7564781539626;762.0956286319824;1.00
7;2024CIAB7C1016;2024-05-24;-;Consultez décl. préc.;2024CIAB7L2891;CIAB7;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";0100451K;"EVIOSYS PACKAGING SIEM SA
01 BP 1242 ABIDJAN 01
ZO";-;-;"EVIOSYS EMBALAJES ESPANA S.A.U
REYES CATOLICOS 168";ROUGE;Visite a Quai;7210500000;4052;0;"PK - Colis (""package"")";CIF;ES;Espagne;CI;-;-;892,627;3,440,055;3,440,055;3,154;3154;1;Produits laminés plats, en fer ou aciers non al;0;1090.70;0.26;1062.20;1051.130902237389;1090.6959416613824;1059.0785550718547;0.97
8;2024CIAB7C1008;2024-05-24;-;Consultez décl. préc.;2024CIAB7L2880;CIAB7;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";0100451K;"EVIOSYS PACKAGING SIEM SA
01 BP 1242 ABIDJAN 01
ZO";-;-;"EVIOSYS PACKAGING FRANCE S.A.S
7 RUE EMMY NOETHER";ROUGE;Visite a Quai;7210500000;4052;0;"PK - Colis (""package"")";CIF;FR;France;CI;-;-;3,014,252;11,460,519;11,460,519;9,583;9583;1;Produits laminés plats, en fer ou aciers non al;0;1195.92;0.26;1099.39;954.4815599195653;1196.0114103149247;1195.9218407596786;0.92
9;2024CIAB7C1018;2024-05-24;-;Consultez décl. préc.;2024CIAB7L2893;CIAB7;Mise à la consommation;"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T";0100451K;"EVIOSYS PACKAGING SIEM SA
01 BP 1242 ABIDJAN 01
ZO";-;-;"EVIOSYS PACKAGING FRANCE SAS
7 RUE EMMY NOETHER
DR";ROUGE;Visite a Quai;7210500000;4052;0;"PK - Colis (""package"")";CIF;FR;France;CI;-;-;2,811,322;10,420,728;10,420,728;8,713;8713;1;Produits laminés plats, en fer ou aciers non al;0;1196.00;0.27;1099.39;954.4815599195653;1196.0114103149247;1195.9218407596786;0.92
