<<<<<<< HEAD
,N°déclaration,Date déclaration,N°manifeste,N°BL,N°Liquidation,Bureau,Type déclaration,Déclarant,Code Opérateur,Nom Opérateur,Code destinataire réel/Exportateur réel,Nom Destinataire réel / Exportarteur réel,Fournisseur,Circuit,Type visite,Produit,Regime Etendu,Code Additionnel,Nature emballage,Incoterm,Provenance,Origine,Destination,Marque1,Marque2,D&T,Val FOB,Val CAF,Pds Brut,Pds Net,Nbr Colis,Sous_Produit,fret,PU,D&T_tx,PU_moy,PU_min,PU_max,PU_med,Ecart
0,2023CIABPC5270,2023-10-03,CIAB1 2023 4875,LHV3220220/2,2023CIABPL5397,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI","SEABLUE S.A.S
BP 40408 8 RUE DES FABRES 13177
MARS",JAUNE,Visite a Domicile,304890000,4000,0,"PC - Colis (""parcel"")",FCA,FR,PLUSIEURS,CI,-,-,"41,709","92,490","94,190",5,4,0,"Autres filets de poissons congelés, non dénom","1,700",23122.50,0.44,23122.50,23122.5,23122.5,23122.5,1.00
1,2023CIABPC5358,2023-10-06,CIAB1 2023 5413,POVABJ230677EAG/2,2023CIABPL5486,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI","ABC  FOODS
M.I.N. DE BRIENNE N°11-110 QUAI DE PAL",JAUNE,Visite a Domicile,307220000,4000,0,"PK - Colis (""package"")",CFR,FR,MANY,CI,-,-,"2,403,899","5,378,847","5,428,852",243,200,0,Coquilles St Jacques et autres mollusques de la,"50,005",26894.24,0.44,26894.24,26894.235,26894.235,26894.235,1.00
2,2023CIABPC5358,2023-10-06,CIAB1 2023 5413,POVABJ230677EAG/2,2023CIABPL5486,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI","ABC  FOODS
M.I.N. DE BRIENNE N°11-110 QUAI DE PAL",JAUNE,Visite a Domicile,304810000,4000,0,"PK - Colis (""package"")",CFR,FR,MANY,CI,-,-,"2,030,710","4,543,814","4,586,056",505,454,0,"Filets de saumons du Pacifique (Oncorhy...), sa","42,242",10008.40,0.44,10008.40,10008.400881057269,10008.400881057269,10008.400881057269,1.00
3,2023CIABPC5270,2023-10-03,CIAB1 2023 4875,LHV3220220/2,2023CIABPL5397,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI","SEABLUE S.A.S
BP 40408 8 RUE DES FABRES 13177
MARS",JAUNE,Visite a Domicile,304810000,4000,0,"PC - Colis (""parcel"")",FCA,FR,PLUSIEURS,CI,-,-,"629,349","1,377,510","1,421,290",144,120,0,"Filets de saumons du Pacifique (Oncorhy...), sa","43,780",11479.25,0.44,11479.25,11479.25,11479.25,11479.25,1.00
4,2023CIABPC5358,2023-10-06,CIAB1 2023 5413,POVABJ230677EAG/2,2023CIABPL5486,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI","ABC  FOODS
M.I.N. DE BRIENNE N°11-110 QUAI DE PAL",JAUNE,Visite a Domicile,306170000,4000,0,"PK - Colis (""package"")",CFR,FR,MANY,CI,-,-,"697,147","3,069,879","3,098,418",428,360,153,Autres crevettes congelées,"28,539",8527.44,0.23,8527.44,8527.441666666668,8527.441666666668,8527.441666666668,1.00
5,2023CIABPC5270,2023-10-03,CIAB1 2023 4875,LHV3220220/2,2023CIABPL5397,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI","SEABLUE S.A.S
BP 40408 8 RUE DES FABRES 13177
MARS",JAUNE,Visite a Domicile,306170000,4000,0,"PC - Colis (""parcel"")",FCA,FR,PLUSIEURS,CI,-,-,"1,733,723","7,468,070","7,705,422","1,220",1070,0,Autres crevettes congelées,"237,352",6979.50,0.23,7924.79,6979.5046728971965,8609.435,8185.4375,1.14
6,2023CIABPC5270,2023-10-03,CIAB1 2023 4875,LHV3220220/2,2023CIABPL5397,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI","SEABLUE S.A.S
BP 40408 8 RUE DES FABRES 13177
MARS",JAUNE,Visite a Domicile,304990000,4000,0,"PC - Colis (""parcel"")",FCA,FR,PLUSIEURS,CI,-,-,"26,455","115,448","117,570",6,6,169,"Autres chairs de poissons congelées, non déno","2,122",19241.33,0.23,19241.33,19241.333333333332,19241.333333333332,19241.333333333332,1.00
7,2023CIABPC5270,2023-10-03,CIAB1 2023 4875,LHV3220220/2,2023CIABPL5397,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI",6900950P,"SERVAIR ABIDJAN
07 BP 08 ABIDJAN 07
RCI","SEABLUE S.A.S
BP 40408 8 RUE DES FABRES 13177
MARS",JAUNE,Visite a Domicile,306110000,4000,0,"PC - Colis (""parcel"")",FCA,FR,PLUSIEURS,CI,-,-,"1,788,695","7,704,871","7,949,748",229,218,0,"Langoustes (Palinurus spp., Panulirus spp., Jas","244,877",35343.44,0.23,35343.44,35343.44495412844,35343.44495412844,35343.44495412844,1.00
8,2023CIABPC5358,2023-10-06,CIAB1 2023 5413,POVABJ230677EAG/2,2023CIABPL5486,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI",9709432K,"LA PAYSANNE
18 BP 239 ABIDJAN 18
RCI
RCI","ABC  FOODS
M.I.N. DE BRIENNE N°11-110 QUAI DE PAL",JAUNE,Visite a Domicile,303330000,4000,0,"PK - Colis (""package"")",CFR,FR,MANY,CI,-,-,"1,400,248","11,098,792","11,201,973",683,600,0,"Soles (Solea spp.) congelés, à l'exclusion de","103,181",18497.99,0.13,18497.99,18497.986666666668,18497.986666666668,18497.986666666668,1.00
9,2023CIABPC5611,2023-10-17,CIAB1 2023 5635,COSU6364765000,2023CIABPL5744,CIABP,Mise à la consommation,"00074L -PACKING SERVICE
07 BP 66 ABIDJAN 07
MARCORY-ZONE 4",0427098Y,"STE SONAM ABIDJAN
18 BP 2502 ABIDJAN 18
RCI",0427098Y,"STE SONAM ABIDJAN
18 BP 2502 ABIDJAN 18
RCI","PLATINUM CORPORATION FZE
504 3W DAFZA PO BOX 54513",JAUNE,Visite a Domicile,303230000,4000,0,CT - Carton,CFR,CN,Chine,CI,-,-,"4,219,188","29,607,275","33,753,498","54,600",52000,5200,"Tilapias (Oreochromis spp.) congelés, à l'exc","4,146,223",569.37,0.13,592.59,257.05830769230766,6887.548363636363,576.5985849056603,1.04
