,DESCRIPTION MARCHANDISE,Position SH,Libelle SH,nbre déclarations,percent,cum_percent,pareto
0,OS D'ECHINE DE PORC,0206490000,"Abats comestibles autres que les foies, des ani",112,0.02531645569620253,0.02531645569620253,0.0006489292667099286
1,FROZEN BEEF KIDNEYS,0206220000,"Foies des animaux de l'espèce bovine, congelé",98,0.022151898734177215,0.04746835443037975,0.0012978585334198572
2,OS D'ECHINE PORC,0206490000,"Abats comestibles autres que les foies, des ani",73,0.016500904159132006,0.06396925858951176,0.001946787800129786
3,FROZEN BEEF FEET,0206290000,Abats comestibles autres que les langues et les,71,0.01604882459312839,0.08001808318264014,0.0025957170668397143
4,PIEDS DE PORC,0206490000,"Abats comestibles autres que les foies, des ani",69,0.015596745027124773,0.09561482820976491,0.003244646333549643
5,PIEDS DE BOEUF CONGELES,0206290000,Abats comestibles autres que les langues et les,59,0.01333634719710669,0.1089511754068716,0.003893575600259572
6,FROZEN PORK HIND FEET,0206490000,"Abats comestibles autres que les foies, des ani",53,0.01198010849909584,0.12093128390596744,0.004542504866969501
7,PORK NECK BONE,0206490000,"Abats comestibles autres que les foies, des ani",52,0.011754068716094032,0.13268535262206146,0.005191434133679429
8,ROGNONS DE BŒUF,0206290000,Abats comestibles autres que les langues et les,47,0.010623869801084991,0.14330922242314645,0.005840363400389357
9,PIEDS DE BOEUF,0206290000,Abats comestibles autres que les langues et les,46,0.010397830018083183,0.15370705244122962,0.006489292667099286
10,FROZEN PORK NECK BONES,0206490000,"Abats comestibles autres que les foies, des ani",44,0.009945750452079566,0.1636528028933092,0.007138221933809215
11,FROZEN PORK NECKBONES,0206490000,"Abats comestibles autres que les foies, des ani",41,0.009267631103074141,0.17292043399638332,0.007787151200519144
12,FROZEN PORK HALF HEADS,0206490000,"Abats comestibles autres que les foies, des ani",39,0.008815551537070525,0.18173598553345385,0.008436080467229072
13,FROZEN BEEF LIVERS,0206220000,"Foies des animaux de l'espèce bovine, congelé",39,0.008815551537070525,0.19055153707052438,0.009085009733939001
14,FROZEN PORK FRONT FEET,0206490000,"Abats comestibles autres que les foies, des ani",36,0.0081374321880651,0.19868896925858948,0.00973393900064893
15,PORK NECK BONES,0206490000,"Abats comestibles autres que les foies, des ani",35,0.007911392405063292,0.20660036166365275,0.010382868267358857
16,OS D’ÉCHINE DE PORC,0206490000,"Abats comestibles autres que les foies, des ani",34,0.0076853526220614825,0.21428571428571425,0.011031797534068787
17,FOIE DE BOEUF CONGELE,0206220000,"Foies des animaux de l'espèce bovine, congelé",32,0.007233273056057866,0.2215189873417721,0.011680726800778715
18,ROGNONS DE BOEUF CONGELES,0206290000,Abats comestibles autres que les langues et les,31,0.007007233273056058,0.22852622061482816,0.012329656067488644
