,code opérateur,nbre déclarations,percent,cum_percent,pareto
0,0418417T,147,0.2752808988764045,0.2752808988764045,0.027777777777777776
1,1840412W,76,0.14232209737827714,0.41760299625468167,0.05555555555555555
2,1548440M,59,0.1104868913857678,0.5280898876404495,0.08333333333333333
3,1426001K,55,0.10299625468164794,0.6310861423220975,0.1111111111111111
4,9502090D,34,0.06367041198501873,0.6947565543071162,0.1388888888888889
5,1100695D,22,0.04119850187265917,0.7359550561797754,0.16666666666666666
6,1903387Z,21,0.03932584269662921,0.7752808988764046,0.19444444444444445
7,1444068F,14,0.026217228464419477,0.801498127340824,0.2222222222222222
8,2165287Z,13,0.024344569288389514,0.8258426966292135,0.25
9,2044685S,11,0.020599250936329586,0.8464419475655431,0.2777777777777778
10,8806668Y,9,0.016853932584269662,0.8632958801498128,0.3055555555555556
11,2007147S,9,0.016853932584269662,0.8801498127340825,0.3333333333333333
12,1620067A,6,0.011235955056179775,0.8913857677902624,0.3611111111111111
13,1554236S,6,0.011235955056179775,0.9026217228464422,0.3888888888888889
14,0531109G,5,0.009363295880149813,0.911985018726592,0.4166666666666667
15,2243009E,5,0.009363295880149813,0.9213483146067418,0.4444444444444444
16,1718461G,5,0.009363295880149813,0.9307116104868917,0.4722222222222222
17,1802114J,4,0.00749063670411985,0.9382022471910115,0.5
18,1222993M,4,0.00749063670411985,0.9456928838951314,0.5277777777777778
19,1638418D,3,0.0056179775280898875,0.9513108614232213,0.5555555555555556
20,1920845Y,3,0.0056179775280898875,0.9569288389513112,0.5833333333333334
21,2136128L,2,0.003745318352059925,0.9606741573033711,0.6111111111111112
22,0214956A,2,0.003745318352059925,0.9644194756554311,0.6388888888888888
23,2124111F,2,0.003745318352059925,0.968164794007491,0.6666666666666666
24,2241916T,2,0.003745318352059925,0.9719101123595509,0.6944444444444444
25,9709432K,2,0.003745318352059925,0.9756554307116109,0.7222222222222222
26,1406511K,2,0.003745318352059925,0.9794007490636708,0.75
27,4259718Y,2,0.003745318352059925,0.9831460674157307,0.7777777777777778
28,1859987W,2,0.003745318352059925,0.9868913857677907,0.8055555555555556
29,1432262S,1,0.0018726591760299626,0.9887640449438206,0.8333333333333334
30,0105347K,1,0.0018726591760299626,0.9906367041198506,0.8611111111111112
31,2029296V,1,0.0018726591760299626,0.9925093632958806,0.8888888888888888
32,1223938W,1,0.0018726591760299626,0.9943820224719105,0.9166666666666666
33,2049910C,1,0.0018726591760299626,0.9962546816479405,0.9444444444444444
34,9318857L,1,0.0018726591760299626,0.9981273408239705,0.9722222222222222
35,2243329M,1,0.0018726591760299626,1.0000000000000004,1.0
