,N°Déclaration,Date de la déclaration,Déclarant,Opérateur,Code opérateur,Origine,Position SH,Libelle SH,DT,Valeur CAF,Poids net,TAUX IMPOSITION,DESCRIPTION MARCHANDISE,PU,PU REC,N°Déclaration REC,CAF TOTAL  REC,PSV,DT SANS PSV REC,DT + PSV REC,DROITS COMPROMIS
99,2023CIAB1C39232,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1100695D - STE AFRICAINE DE PRODUITS CONGELES,1100695D,Belgique,0206490000,"Abats comestibles autres que les foies, des ani",3111826,6943690.0,25397,0.375,OS DE QUEUE DE PORC,273.4,273.8,2023CIAB1C27890,6953271,507940,2607477,3115417,3591
100,2023CIAB1C39243,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",5112199,12299193.0,25000,0.375,PIEDS AVANT DE PORC B CONGELES,492.0,492.0,2023CIAB1C39243,12299193,500000,4612197,5112197,0
101,2023CIAB1C39247,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",5799385,14025016.0,27000,0.375,PIED ARRIÈRE DE PORC CONGELÉS,519.4,542.1,2023CIAB1C38979,14637024,540000,5488884,6028884,229499
102,2023CIAB1C39249,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,France,0206490000,"Abats comestibles autres que les foies, des ani",3645216,8698646.0,19161,0.375,ROGNONS S/VIDE DE BOEUF 10KG,454.0,454.0,2023CIAB1C39249,8698646,383220,3261992,3645212,0
103,2023CIAB1C39253,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,France,0206290000,Abats comestibles autres que les langues et les,1673260,4114818.0,6510,0.375,OREILLES B DE PORC 10KG,632.1,632.1,2023CIAB1C39253,4114818,130200,1543057,1673257,0
104,2023CIAB1C39253,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,France,0206490000,"Abats comestibles autres que les foies, des ani",3321020,7872796.0,18436,0.375,OREILLES B DE PORC 10KG,427.0,632.1,2023CIAB1C39253,11652962,368720,4369861,4738581,1417561
105,2023CIAB1C39256,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,France,0206290000,Abats comestibles autres que les langues et les,1596786,3865555.0,7360,0.375,PIEDS DE BOEUF B 20KG,525.2,848.1,2023CIAB1C44452,6241820,147200,2340682,2487882,891096
106,2023CIAB1C39256,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,France,0206490000,"Abats comestibles autres que les foies, des ani",3324356,7933800.0,17459,0.375,PIEDS DE BOEUF B 20KG,454.4,848.1,2023CIAB1C44452,14806513,349180,5552442,5901622,2577266
107,2023CIAB1C39258,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,Belgique,0206220000,"Foies des animaux de l'espèce bovine, congelé",4969121,13250987.0,26234,0.375,FOIE DE BOEUF,505.1,505.1,2023CIAB1C39258,13250987,524680,4969120,5493800,524679
108,2023CIAB1C39260,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",5821534,14041415.0,27800,0.375,PIEDS DE PORC ARRIERE 10KG,505.1,537.1,2023CIAB1C35855,14931549,556000,5599331,6155331,333797
109,2023CIAB1C39262,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",5171997,12430386.0,25530,0.375,OS D’ÉCHINE DE PORC 15KG,486.9,571.2,2023CIAB1C40781,14583234,510600,5468713,5979313,807316
110,2023CIAB1C39268,2023-08-01,00468B - TRAM TRANSIT,0418417T - FISH ET MEAT,0418417T,France,0206490000,"Abats comestibles autres que les foies, des ani",4897222,11733758.0,24853,0.375,RACINE DE LANGUE DE PORC,472.1,472.1,2023CIAB1C39268,11733758,497060,4400159,4897219,0
111,2023CIAB1C39281,2023-08-01,00258L - ENVOL-TRANSIT COTE D IVOIRE,0214956A - POISSONS D'AFRIQUE,0214956A,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",5720423,13814455.0,27000,0.375,PIEDS AVANT DE PORC CONGELES,511.6,518.2,2023CIAB1C31367,13991563,540000,5246836,5786836,66413
112,2023CIAB1C39292,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Hongrie,0206490000,"Abats comestibles autres que les foies, des ani",5151315,12426912.0,24561,0.375,HUNGARY MEAT FROZEN PORK WHOLE HEAD WITH EAR WITH CHEEK,506.0,506.0,2023CIAB1C39292,12426912,491220,4660092,5151312,0
113,2023CIAB1C39299,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Allemagne,0206490000,"Abats comestibles autres que les foies, des ani",4166742,9844104.0,23760,0.375,FROZEN PORK HEADS W/O EAR WITH INNER CHEEK,414.3,414.3,2023CIAB1C39299,9844104,475200,3691539,4166739,0
114,2023CIAB1C39309,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",6397207,15619209.0,27000,0.375,FROZEN PORK NECK BONES,578.5,578.5,2023CIAB1C39309,15619209,540000,5857203,6397203,0
115,2023CIAB1C39320,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",6398959,15623885.0,27000,0.375,FROZEN PORK NECK BONES 2700 CARTONS,578.7,578.7,2023CIAB1C39320,15623885,540000,5858957,6398957,0
116,2023CIAB1C39321,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",6397207,15619209.0,27000,0.375,FROZEN PORK NECK BONES,578.5,578.5,2023CIAB1C39309,15619209,540000,5857203,6397203,0
117,2023CIAB1C39342,2023-08-01,00288M - FM TRANSIT SARL,1444068F - INDUSTRIE DE CONSERVATION ET DE GESTION D'ENTREPOT,1444068F,Argentine,0206490000,"Abats comestibles autres que les foies, des ani",6543410,16062419.0,26000,0.375,FROZEN PORK HALF HEADS,617.8,675.7,2023CIAB1C31988,17567184,520000,6587694,7107694,564284
118,2023CIAB1C39355,2023-08-01,00288M - FM TRANSIT SARL,1444068F - INDUSTRIE DE CONSERVATION ET DE GESTION D'ENTREPOT,1444068F,Italie,0206490000,"Abats comestibles autres que les foies, des ani",5050705,12135204.0,25000,0.375,FROZEN PORK FRONT FEET / PIEDS DE PORC AVANT,485.4,485.4,2023CIAB1C39355,12135204,500000,4550702,5050702,0
119,2023CIAB1C39373,2023-08-01,00304L - NIGT,1840412W - LA TULIPE FOOD,1840412W,Bresil,0206290000,Abats comestibles autres que les langues et les,7729015,19169686.0,27019,0.375,FROZEN BEEF LIPS,709.5,772.9,2023CIAB1C40166,20884260,540380,7831598,8371978,642963
120,2023CIAB1C39394,2023-08-01,00441P - Manutention Transit Transport de CI,0105347K - SICS-STE IVOIRIENNE,0105347K,Espagne,0203290000,Autres viandes des animaux de l'espèce porcine,29014937,57327810.0,25004,0.497,FROZEN PORK TRIMMINGS 80/20,2292.7,2292.7,2023CIAB1C39394,57327810,500080,28491922,28992002,0
121,2023CIAB1C39401,2023-08-01,00377B - A2Z TRANSIT CI,2044685S - GLOBAL INVESTISSEMENT CORPORATION,2044685S,Belgique,0206290000,Abats comestibles autres que les langues et les,4722477,11158759.0,26897,0.375,PATTES DE BOEUF CONGELE,414.9,414.9,2023CIAB1C39401,11158759,537940,4184535,4722475,0
122,2023CIAB1C39403,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Bresil,0206490000,"Abats comestibles autres que les foies, des ani",5981735,14591287.0,25500,0.375,FROZEN PORK NECKBONE,572.2,609.2,2023CIAB1C28276,15534310,510000,5825366,6335366,353631
123,2023CIAB1C39411,2023-08-01,00453L - PROFESSIONNEL TRANSIT,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Inde,0206220000,"Foies des animaux de l'espèce bovine, congelé",6252801,16674126.0,28500,0.375,BUFFALO LIVERS,585.1,585.3,2023CIAB1C34509,16682445,570000,6255917,6825917,573116
124,2023CIAB1C39419,2023-08-01,00304L - NIGT,1840412W - LA TULIPE FOOD,1840412W,France,0206220000,"Foies des animaux de l'espèce bovine, congelé",2589805,6906139.0,10528,0.375,FROZEN BEEF TONGUE ROOT MEAT,656.0,656.0,2023CIAB1C39419,6906139,210560,2589802,2800362,210557
125,2023CIAB1C39419,2023-08-01,00304L - NIGT,1840412W - LA TULIPE FOOD,1840412W,France,0206290000,Abats comestibles autres que les langues et les,3047885,7404220.0,13565,0.375,FROZEN BEEF TONGUE ROOT MEAT,545.8,656.0,2023CIAB1C39419,8898345,271300,3336879,3608179,560294
126,2023CIAB1C39446,2023-08-01,00400B - MEDLOG CI,1840412W - LA TULIPE FOOD,1840412W,Espagne,0206290000,Abats comestibles autres que les langues et les,5738618,13969054.0,25011,0.375,FROZEN BEEF FEET,558.5,604.5,2023CIAB1C41958,15119367,500220,5669763,6169983,431365
127,2023CIAB1C39463,2023-08-01,00286V - SAS-CI TRANSIT,9502090D - SONAL-STE NATIONALE D'A-,9502090D,Royaume-Uni,0206490000,"Abats comestibles autres que les foies, des ani",4938644,11981711.0,22275,0.375,OS D'ECHINE DE PORC,537.9,551.0,2023CIAB1C32323,12273611,445500,4602604,5048104,109460
