;NUMENR;NUMRFCV;DATENR;DECLARANT;CODE_OPERATEUR;OPERATEUR;FOURNISSEUR_IMP_CLIENT_EXP;ORIGINE;SH_FCVR;DESCRIPTION_PRODUIT_FCVR;PU
0;2026CIAB1C28826;RCS26030566P1;2026-04-01;TGA-CI;2242753R;SOCIETE D'ACIER & SERVICES DE COTE D'IVOIRE SARL;JH BUILDING MATERIALS TRADING;CN;7208530000.0;TOLE PLANE NOIRE 6000X2000X4 MM;320
1;2026CITCEC910;RCS26033156P1;2026-04-01;NTMB TRANSIT;1500788K;NAS IVOIRE SA;TLD EUROPE (Sales & Services);FR;4016930000.0;SEAL KIT;28106
2;2026CIAB1C27964;RCS26036551P1;2026-04-01;INTRA GLOBE LOGISTICS SA.;0100925E;NEEMBA COTE D'IVOIRE;NEEMBA INTERNATIONAL;FR;8507100000.0;BATTERY;223357
3;2026CIAB1C27964;RCS26036551P1;2026-04-01;INTRA GLOBE LOGISTICS SA.;0100925E;NEEMBA COTE D'IVOIRE;NEEMBA INTERNATIONAL;FR;8507100000.0;BATTERY;199903
4;2026CIAB1C27964;RCS26036551P1;2026-04-01;INTRA GLOBE LOGISTICS SA.;0100925E;NEEMBA COTE D'IVOIRE;NEEMBA INTERNATIONAL;FR;8507100000.0;BATTERY;112259
5;2026CIAB1C28216;RCS26038523P1;2026-04-01;TGA-CI;0552515T;SOCIETE NOUVELLE DES PRODUITS CHIMIQUES;KH CHEMICALS;CN;2903220000.0;TRICHLOROETHYLENE;482
6;2026CIAB1C27057;RCS26038965P1;2026-04-01;TGR;9904279V;NOUVELLE PARFUMERIE GANDOUR-CI.;TRADING AND MARKETING SERVICES LIMITED;CN;4819209000.0;ETUIS;5
7;2026CIAB7S1586;RCS26040072P1;2026-04-01;I.T.M;2006159D;KEDA COTE D'IVOIRE CERAMICS;BRIGHSTAR INVESTMENT LIMITED;CN;8544420000.0;CÂBLE;249
8;2026CIAB7S1586;RCS26040072P1;2026-04-01;I.T.M;2006159D;KEDA COTE D'IVOIRE CERAMICS;BRIGHSTAR INVESTMENT LIMITED;CN;8536690000.0;PLUG;228
9;2026CIAB7S1586;RCS26040072P1;2026-04-01;I.T.M;2006159D;KEDA COTE D'IVOIRE CERAMICS;BRIGHSTAR INVESTMENT LIMITED;CN;4009420000.0;TUBE EN CAOUTCHOUC HAUTE PRESSION ENROULÉ EN FIL D'ACIER;2997
10;2026CIAB7S1586;RCS26040072P1;2026-04-01;I.T.M;2006159D;KEDA COTE D'IVOIRE CERAMICS;BRIGHSTAR INVESTMENT LIMITED;CN;3917211000.0;TUBE RENFORCÉ DE FIL D'ACIER EN PVC;5155
11;2026CIAB7S1474;RCS26041495P1;2026-04-01;STRACOTRANS;1622250Q;SOCIÉTÉ INDUSTRIELLE DE PRODUITS PLASTIQUES ET CHIMIQUES;NIGTAS;TR;2836500000.0;CALCIUM CARBONATE NIGTAS 2;55
12;2026CIAB1C29412;RCS26042208P1;2026-04-01;FM TRANSIT SARL;2304664L;SOCIETE NOUVELLE SOCOCI;INTERVISION FOODS;BR;206490000.0;FROZEN PORK NECK BONES;350
13;2026CIAB1C31241;RCS26042407P1;2026-04-01;SOCIETE NOUVELLE ISAK TRANSIT;2403343J;SOCIETE INTER-AFRICAINE DE FOURNITURES COMMERCIALES ET INDUSTRIELLES;QINGDAO QIZHOU RUBBER CO LTD;CN;4011200000.0;LT265/75R16;62813
14;2026CIAB1C31241;RCS26042407P1;2026-04-01;SOCIETE NOUVELLE ISAK TRANSIT;2403343J;SOCIETE INTER-AFRICAINE DE FOURNITURES COMMERCIALES ET INDUSTRIELLES;QINGDAO QIZHOU RUBBER CO LTD;CN;4011200000.0;LT265/65R17;62090
15;2026CIAB1C31241;RCS26042407P1;2026-04-01;SOCIETE NOUVELLE ISAK TRANSIT;2403343J;SOCIETE INTER-AFRICAINE DE FOURNITURES COMMERCIALES ET INDUSTRIELLES;QINGDAO QIZHOU RUBBER CO LTD;CN;4011200000.0;LT265/70R17;62550
