,Produit,Sous_Produit,Origine,PU_moy,PU_min,PU_max,PU_med
0,8541430000,Cellules photovoltaïques assemblées en module,Chine,1942.51,191.06632198252808,12768.411849710983,1094.7724332560733
1,8517710000, Antennes et réflecteurs d’antennes de tous,Chine,86332.38,890.6024200518583,473168.02,9870.283333333333
2,9403200000,"Meubles en métal, autres que des types utilisé",Chine,3239.39,137.07377777777776,29644.19230769231,694.2828566234396
3,8536490000,Relais pour une tension excédant 60 V mais n',Chine,7786.38,491.30323474220353,43379.83031088083,4230.4324324324325
4,8538100000,"Tableaux, panneaux, consoles, pupitres, armoires",Chine,2934.08,337.39923816433884,13119.133333333333,884.1016746411483
5,8544499000,"Autres conducteurs électriques, pour tension",Chine,10559.17,175.21109770808204,132048.31164901663,1074.3730027548208
6,8517620000,"Appareils pr la réception, la conversion, l'é",Chine,193159.20,370.4235294117647,5305227.575757576,36394.09722222222
7,8536300000,Autres appareils pour la protection des circuits,Chine,19586.94,329.0334382376082,165334.4,5933.407610006028
8,8544420000,"Autres conducteurs électriques, pour tension n",Chine,18379.18,22.73201506591337,297804.0,2485.420404604116
9,3921901000,"Autres plaques, feuilles, pellicules, bandes et",Chine,1274.06,43.39655172413793,9926.393700787401,613.6102362204724
10,8536900000,"Autres appareils pr coupure, sectionnement, prot",Chine,12239.58,2.803684598378777,365847.4038461539,803.984496124031
11,7318150000,"Autres vis et boulons, même avec leurs écrous",Chine,4284.11,6.9779050736497545,179841.0,523.7670441437896
12,8504409000,Convertisseurs statiques à l'exclusion des ond,Chine,18871.04,168.61718702266757,822570.0,615.2445561139028
13,9026100000,Instruments et appareils pour la mesure ou le co,Chine,17697.65,3.708029197080292,218752.75,3173.0
14,7308209000,"Tours et pylônes en fonte, fer ou acier autres",Chine,2179.17,276.56050955414014,11807.25,1206.6309819907585
15,7318160000,"Ecrous en fonte, fer ou acier",Chine,10740.90,113.37061095505618,145250.0,735.6
16,8507800000,"Autres accumulateurs électriques, y compris leu",Chine,1056.98,100.40171712607321,12780.929392446635,382.2859960552268
17,8504900000,"Parties de transformateurs électriques, de conv",Chine,12459.60,509.75897435897434,57640.0909342178,2250.0
18,7326909000,Autres ouvrages en fer ou en acier du n° 73.26,Chine,10295.45,38.81663326653307,783776.5,1095.2142857142858
19,6305390000,Autres sacs et sachet d'emballage de matières,Bresil,819.95,819.946875,819.946875,819.946875
20,7318240000,"Goupilles et clavettes, en fonte, fer ou acier",PLUSIEURS,62246.31,610.0,1113815.0,13068.138211382113
21,8474900000,Parties de machines et appareils du n° 84.74,PLUSIEURS,20603.26,1522.4159099580313,91269.71428571429,15354.595692277177
22,3105200000,Engrais minéraux ou chimiques contenant les tro,Pays-bas,1402.62,1228.8578229317852,1606.8838045206332,1387.3645404530043
23,2832100000,Sulfites de sodium,Chine,405.37,168.0,957.6973333333333,280.69942000000003
24,4011800000,"Pneumatiques neufs, en caoutchouc, utilisés pou",Luxembourg,3798.14,3145.9034920149766,5582.958398607485,3738.0401959371848
26,4011800000,"Pneumatiques neufs, en caoutchouc, utilisés pou",Chine,2726.50,168.486,9277.683125,2567.4068303312406
27,8461900000,outilstra,Malaisie,5549.95,5549.953481652701,5549.953481652701,5549.953481652701
28,8421310000,Filtres d'entrée d'air pour moteurs à allumag,PLUSIEURS,45710.32,120.19623971797886,688317.6666666666,22799.004347826085
29,8207190000,"Outils de forage ou de sondage, y compris les p",PLUSIEURS,29085.47,3748.285714285714,122706.32098765433,13940.171129845443
30,7318290000,"Autres articles non filetés, en fonte, fer ou",PLUSIEURS,29937.55,568.8255675029868,309612.0,11315.25
31,8413600000,Autres pompes volumétriques rotatives,Malaisie,5551.61,5551.608139534884,5551.608139534884,5551.608139534884
32,2916310000,"Acide benzoïque, ses sels et ses esters",Chine,893.21,679.5714117647059,1771.084,773.0552666666666
33,3824400000,"Additifs préparés pour ciments, mortiers ou b",Espagne,826.51,826.505808080808,826.505808080808,826.505808080808
34,2905320000,diol),Chine,772.67,691.5,968.5662790697675,743.8652880341881
35,1006309000,"blanchiou blanchi, même poli ou gla",Vietnam,345.42,200.98649915182358,471.0389693363844,341.4301468460648
37,2836500000,Carbonate de calcium,Tunisie,54.54,27.55019642857143,121.35205357142857,39.35742142857143
40,8421290000,Appareils pour la filtration ou l'épuration de,PLUSIEURS,51201.12,699.7,526078.0,32798.0
42,4011700000,"Pneumatiques neufs, en caoutchouc, des types uti",Chine,969.08,133.33333333333334,7367.712,706.1798704643418
43,8421990000,Parties des appareils pour la filtration ou l',PLUSIEURS,79746.27,309.88275862068963,1686020.0,37983.850980392155
44,8482990000,"Autres parties des roulements à billes, à gal",Malaisie,13858.94,5563.275362318841,20309.474759615383,15704.06
45,8431490000,Autres parties de machines et d'appareils des n,PLUSIEURS,61192.09,546.3125,2340397.0,33541.4
47,4016990000,Autres ouvrages en caoutchouc vulcanisé non du,Malaisie,110820.39,5830.777777777777,215810.0,110820.38888888889
48,8483600000,"Embrayages et organes d'accouplement, y compris",Malaisie,6536.48,4630.279411764706,9183.666666666666,6165.985963503048
49,3926909900,Autres ouvrages en matières plastiques et ouv,PLUSIEURS,136852.07,163.36552847490347,44769065.0,13782.407329401853
50,4011100000,"Pneumatiques neufs, en caoutchouc, des types uti",Chine,969.08,133.33333333333334,7367.712,706.1798704643418
51,8483400000,"Engrenages et roues de friction, autres que les",Malaisie,4696.49,423.4717977215893,15174.683531233866,4217.643014543852
52,8438900000,Parties de machines et appareils du n° 84.38,Inde,3993.92,3993.9226086956523,3993.9226086956523,3993.9226086956523
53,4016930000,"Joints, en caoutchouc vulcanisé non durci, aut",PLUSIEURS,79824.90,92.39064612057312,1284101.4,33453.819444444445
54,2710193990,"Autres huiles lubrifiantes, du n° 2710.19",Emirats Arabes Unis,718.27,157.0204027634867,2249.80650829808,527.9477302984056
55,8421399000,Appareils pr filtration ou épuration des gaz,PLUSIEURS,47593.16,1000.0,335916.0,27008.8986013986
56,8474200000,"Machines et appareils à concasser, broyer ou pu",Malaisie,5551.05,5551.045949214026,5551.045949214026,5551.045949214026
57,8421230000,Appareils pour la filtration des huiles minéra,PLUSIEURS,38769.69,525.0,510991.0,24221.86111111111
58,7318190000,"Articles filetés en fonte, fer ou acier, du n",Malaisie,5543.72,5543.723423423424,5543.723423423424,5543.723423423424
59,8424900000,Parties des appareils du n° 84.24,Etats-Unis,352000.09,13381.558607560512,1302075.0,46271.90476190476
60,7314500000,"Tôles et bandes déployées, en fer ou en acier",PLUSIEURS,32974.75,607.2784717119765,221440.16666666666,12409.6592039801
61,3907610000,"Poly(éthylène téréphtalate), d'un indice de",Chine,659.33,573.9623727272727,1024.8391451068617,612.7575454545454
