,N°Déclaration,Date de la déclaration,Déclarant,Opérateur,Code opérateur,Origine,Position SH,Libelle SH,DT,Valeur CAF,Poids net,TAUX IMPOSITION,DESCRIPTION MARCHANDISE,PU,PU REC,N°Déclaration REC,CAF TOTAL  REC,PSV,DT SANS PSV REC,DT + PSV REC,DROITS COMPROMIS
136,2023CIAB1C79,2023-01-02,00285B - TRANSAKO,1548440M - SUNDEEP CONGELES,1548440M,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",3268158,7381485.0,25005,0.375,PIEDS DE PORC  / OS D ECHINE PORC,295.2,295.2,2023CIAB1C79,7381485,500100,2768057,3268157,0
137,2023CIAB1C81,2023-01-02,00285B - TRANSAKO,2145015P - Y-ODE IMPORT-EXPORT,2145015P,Canada,0206490000,"Abats comestibles autres que les foies, des ani",4775363,11374295.0,25500,0.375,PORC  HOCKS,446.1,446.1,2023CIAB1C81,11374295,510000,4265361,4775361,0
273,2023CIAB1C107,2023-01-03,00109N - GENERAL TRANSIT COTE D IVOIRE(GTCI),1100695D - STE AFRICAINE DE PRODUITS CONGELES,1100695D,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",5542672,13447119.0,25000,0.375,FROZEN PORK NECK BONES,537.9,537.9,2023CIAB1C107,13447119,500000,5042670,5542670,0
274,2023CIAB1C118,2023-01-03,00109N - GENERAL TRANSIT COTE D IVOIRE(GTCI),1100695D - STE AFRICAINE DE PRODUITS CONGELES,1100695D,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",5296688,12791161.0,25000,0.375,PORK NECK BONE,511.6,558.5,2023CIAB1C2135,13962309,500000,5235866,5735866,439178
275,2023CIAB1C122,2023-01-03,00286V - SAS-CI TRANSIT,9502090D - SONAL-STE NATIONALE D'A-,9502090D,Pologne,0206290000,Abats comestibles autres que les langues et les,6795249,16680656.0,27000,0.375,PATTES DE BOEUF,617.8,617.8,2023CIAB1C122,16680656,540000,6255246,6795246,0
276,2023CIAB1C132,2023-01-03,00286V - SAS-CI TRANSIT,9502090D - SONAL-STE NATIONALE D'A-,9502090D,Royaume-Uni,0206290000,Abats comestibles autres que les langues et les,5316553,12824189.0,25374,0.375,PATTE DE BŒUF,505.4,505.4,2023CIAB1C132,12824189,507480,4809071,5316551,0
277,2023CIAB1C139,2023-01-03,00286V - SAS-CI TRANSIT,2225793Y - SOCIETE CISSE ABDUL MALICK,2225793Y,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",4400676,10295126.0,27000,0.375,PATTES DE PORC  AVANT,381.3,381.3,2023CIAB1C139,10295126,540000,3860672,4400672,0
278,2023CIAB1C144,2023-01-03,00109N - GENERAL TRANSIT COTE D IVOIRE(GTCI),1718461G - AFRICAINE D'ALIMENTATION,1718461G,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",6048795,14708781.0,26650,0.375,FROZEN PORK NECK BONES( OS D'ECHINE DE PORC CONGELS),551.9,551.9,2023CIAB1C144,14708781,533000,5515793,6048793,0
279,2023CIAB1C158,2023-01-03,00109N - GENERAL TRANSIT COTE D IVOIRE(GTCI),2007147S - YASK-SERVICES,2007147S,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",4275854,10068940.0,25000,0.375,OS D'ECHINE DE PORC CONGELES 10 KG / OS DE QUEUE DE PORC CONGELE 10 KG,402.8,402.8,2023CIAB1C158,10068940,500000,3775852,4275852,0
280,2023CIAB1C168,2023-01-03,00495T - KANAUTRANS,1620067A - ALCO FOODS SARL,1620067A,Danemark,0206220000,"Foies des animaux de l'espèce bovine, congelé",4306934,11485151.0,26936,0.375,FROZEN BEEF LIVER / FROZEN PORK FEET,426.4,426.4,2023CIAB1C168,11485151,538720,4306932,4845652,538718
281,2023CIAB1C172,2023-01-03,00109N - GENERAL TRANSIT COTE D IVOIRE(GTCI),2007147S - YASK-SERVICES,2007147S,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",4251256,10003345.0,25000,0.375,PIEDS AVANT DE  PORC CONGELE,400.1,400.1,2023CIAB1C172,10003345,500000,3751254,4251254,0
282,2023CIAB1C173,2023-01-03,00495T - KANAUTRANS,1620067A - ALCO FOODS SARL,1620067A,Suede,0206220000,"Foies des animaux de l'espèce bovine, congelé",4028727,10743264.0,25196,0.375,FROZEN BEEF LIVER,426.4,426.4,2023CIAB1C173,10743264,503920,4028724,4532644,503917
283,2023CIAB1C201,2023-01-03,00220C - GENERAL TRANSIT ABIDJAN,1406511K - SIM,1406511K,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",3602522,8273387.0,25000,0.375,OS D'ECHINES DE PORCS CONGELES / PATTES AVANT DE PORCS CONGELES,330.9,330.9,2023CIAB1C201,8273387,500000,3102520,3602520,0
284,2023CIAB1C211,2023-01-03,P1503K - SOTRANSA,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Irlande,0206490000,"Abats comestibles autres que les foies, des ani",4190599,9841323.0,25005,0.375,TETES DE PORC ENTIERES CONGELEES,393.6,393.6,2023CIAB1C217,9841847,500100,3690693,4190793,194
285,2023CIAB1C217,2023-01-03,P1503K - SOTRANSA,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Irlande,0206490000,"Abats comestibles autres que les foies, des ani",4194484,9850506.0,25027,0.375,TETES DE PORC ENTIERES CONGELEES,393.6,393.6,2023CIAB1C217,9850506,500540,3693940,4194480,0
286,2023CIAB1C223,2023-01-03,P1503K - SOTRANSA,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Irlande,0206290000,Abats comestibles autres que les langues et les,5991100,14642928.0,25000,0.375,HAUTS DE GORGES DE BOEUF CONGELES  / MASQUES DE BOEUF CONGELES  / MUSEAUX DE BOEUF CONGELES,585.7,585.7,2023CIAB1C223,14642928,500000,5491098,5991098,0
287,2023CIAB1C231,2023-01-03,P1503K - SOTRANSA,1840412W - LA TULIPE FOOD,1840412W,Bresil,0206290000,Abats comestibles autres que les langues et les,7944570,19746045.0,26990,0.375,FROZEN BEEF KIDNEYS  /  FROZEN BEEF SNOUTS,731.6,731.6,2023CIAB1C231,19746045,539800,7404767,7944567,0
288,2023CIAB1C233,2023-01-03,00306K - SDMA,4259718Y - INALCA COTE D'IVOIRE,4259718Y,Bosnie Herzegovine,0206290000,Abats comestibles autres que les langues et les,1872994,4396723.0,11211,0.375,PATTES DE BOEUF CONGELES,392.2,392.2,2023CIAB1C233,4396723,224220,1648771,1872991,0
289,2023CIAB1C234,2023-01-03,00314H - I.T.I.EX.CI,1840412W - LA TULIPE FOOD,1840412W,Allemagne,0206290000,Abats comestibles autres que les langues et les,6493181,16013222.0,24411,0.375,MUSEAUX DE BOEUF CONGELES,656.0,661.4,2023CIAB1C10035,16145780,488220,6054668,6542888,49707
290,2023CIAB1C239,2023-01-03,P1503K - SOTRANSA,1840412W - LA TULIPE FOOD,1840412W,Bresil,0206290000,Abats comestibles autres que les langues et les,9686842,24364211.0,27513,0.375,FROZEN BEEF KIDNEY,885.6,885.6,2023CIAB1C239,24364211,550260,9136579,9686839,0
434,2023CIAB1C264,2023-01-04,00286V - SAS-CI TRANSIT,9502090D - SONAL-STE NATIONALE D'A-,9502090D,Royaume-Uni,0206490000,"Abats comestibles autres que les foies, des ani",4578808,10930146.0,24000,0.375,OS DE QUEUES DE PORC,455.4,455.4,2023CIAB1C264,10930146,480000,4098805,4578805,0
435,2023CIAB1C269,2023-01-04,00461T - UNIVERSAL LOGISTICS-WAC,1918760Q - GLOBAL EAT,1918760Q,Espagne,0206290000,Abats comestibles autres que les langues et les,4450162,10547788.0,24737,0.375,"FROZEN BEEF FEET, LONG CUT",426.4,426.4,2023CIAB1C269,10547788,494740,3955420,4450160,0
436,2023CIAB1C272,2023-01-04,00461T - UNIVERSAL LOGISTICS-WAC,8806668Y - UCAF-CI,8806668Y,Argentine,0206490000,"Abats comestibles autres que les foies, des ani",7929926,19653128.0,28000,0.375,MASQUES DE PORC CARTONS DE 10 KILOS NET,701.9,701.9,2023CIAB1C272,19653128,560000,7369923,7929923,0
437,2023CIAB1C289,2023-01-04,P1503K - SOTRANSA,1840412W - LA TULIPE FOOD,1840412W,Italie,0206220000,"Foies des animaux de l'espèce bovine, congelé",6363852,16970264.0,24639,0.375,"FOIES DE BOEUF CONGELES, CARTONS DE 20 KGS 1120 CARTONS",688.8,688.8,2023CIAB1C289,16970264,492780,6363849,6856629,492777
438,2023CIAB1C298,2023-01-04,00285B - TRANSAKO,1548440M - SUNDEEP CONGELES,1548440M,Espagne,0206290000,Abats comestibles autres que les langues et les,4082919,9554014.0,25008,0.375,BEEF MASK  / BEEF FEET,382.0,382.0,2023CIAB1C298,9554014,500160,3582755,4082915,0
439,2023CIAB1C299,2023-01-04,P1503K - SOTRANSA,1840412W - LA TULIPE FOOD,1840412W,France,0206220000,"Foies des animaux de l'espèce bovine, congelé",3059796,8159449.0,10910,0.375,FOIES DE BOEUF CONGELES,747.9,984.0,2023CIAB1C8247,10735893,218200,4025960,4244160,1184364
440,2023CIAB1C299,2023-01-04,P1503K - SOTRANSA,1840412W - LA TULIPE FOOD,1840412W,France,0206290000,Abats comestibles autres que les langues et les,3301625,8061712.0,13924,0.375,HAUT DE GORGE DE BOEUF  CONGELES  / BABINES DE BOEUF CONGELES   / PIEDS DE BOEUF CONGELES,579.0,579.0,2023CIAB1C299,8061712,278480,3023142,3301622,0
441,2023CIAB1C300,2023-01-04,00285B - TRANSAKO,2145015P - Y-ODE IMPORT-EXPORT,2145015P,Pologne,0206490000,"Abats comestibles autres que les foies, des ani",3427011,7805889.0,24990,0.375,PIEDS DE PORC,312.4,407.4,2023CIAB1C5477,10181331,499800,3817999,4317799,890788
442,2023CIAB1C317,2023-01-04,00109N - GENERAL TRANSIT COTE D IVOIRE(GTCI),0418417T - FISH ET MEAT,0418417T,France,0206490000,"Abats comestibles autres que les foies, des ani",5269985,12736643.0,24687,0.375,PIEDS ARRIERE B DE PORC 10KG  / PIEDS AVANT DE PORC B  / DEMI-TETE DE PORC 8KG   / TETE A/O A/J DE PORC BOX   / TETES DE PORC S/O S/J 8KG   / QUEUES DE PORC CONGELEES,515.9,515.9,2023CIAB1C317,12736643,493740,4776241,5269981,0
443,2023CIAB1C360,2023-01-04,P1503K - SOTRANSA,1426001K - SOCIETE DE CONGELATION DE C.I,1426001K,Allemagne,0206490000,"Abats comestibles autres que les foies, des ani",4672110,11162420.0,24310,0.375,FROZEN PORK HIND FEET,459.2,459.2,2023CIAB1C360,11162420,486200,4185908,4672108,0
444,2023CIAB1C389,2023-01-04,00285B - TRANSAKO,2145015P - Y-ODE IMPORT-EXPORT,2145015P,Italie,0206490000,"Abats comestibles autres que les foies, des ani",3681805,8484804.0,25000,0.375,STERNUMS DE PORC  / PIEDS DE PORC  /  QUEUE DE PORC,339.4,339.4,2023CIAB1C389,8484804,500000,3181802,3681802,0
